Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,Training Time (s)
Logistic_Regression,0.7478339309417288,0.5090577784820033,0.6404180269884603,0.56723208364554,0.7546922440517829,0.5248029439086431,10.6
Decision_Tree,0.834074593571925,0.6747671025510422,0.6891708256251808,0.6818929095866161,0.7868746678281668,0.5453790871167135,429.38
Random_Forest,0.8908427909357569,0.8722693451447356,0.6759731719827596,0.7616774110489777,0.9122091469730103,0.854486836420079,631.86
Extra_Trees,0.8889558706556295,0.8964855646241929,0.6440401496495779,0.7495787857996704,0.9044122180830545,0.8444052317579881,555.41
Gradient_Boosting,0.8627177674119835,0.7428653608887297,0.7157411616560636,0.7290510609110786,0.8986342473377902,0.8351926428453613,4069.94
AdaBoost,0.8294984355122411,0.6624127473274323,0.6918521687763303,0.676812476516164,0.8757908829433311,0.7972689648566449,1584.49
XGBoost,0.8639002290901883,0.730497799362574,0.7488507661154071,0.7395604382413208,0.911474667161544,0.8529778325710056,25.44
LightGBM,0.8635125573039121,0.7303254332374546,0.7468525212647772,0.7384965223651523,0.9107710886981212,0.8520244445098837,16.59
CatBoost,0.862325704521332,0.7317165062237057,0.7365209633387706,0.734110874060936,0.9057418497599745,0.8442706377318344,39.3
Linear_SVM,0.747733562841722,0.5089082876560038,0.6398637692926651,0.5669218243848646,0.753994226781487,0.5244519309336454,155.42
SGD_Linear_SVM,0.7415872713175572,0.4994372119693334,0.6288564059305574,0.5567243935875557,0.7387415692073405,0.4901755785699975,98.49
MLP,0.8530096629388282,0.7025576132299335,0.7463614683939411,0.723797399719462,0.9026015033827179,0.8397626663244557,612.0
LSTM,0.8708651479300334,0.7708170252468945,0.7109521806880088,0.73967530546022,0.9048862859065254,0.8440571478900273,401.2
GRU,0.8680824423573456,0.7724699231104883,0.6928683078852881,0.730507014962862,0.8955522358488879,0.8303290756294754,108.93
TCN,0.8752280237772029,0.8063155284374676,0.6797605995706933,0.7376493259311726,0.8999189615963598,0.8372406198344164,865.74
