Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,Training Time (s)
Logistic_Regression,0.8181367665914743,0.7221756740440447,0.47982185963180757,0.5765663658909204,0.7509398306513164,0.5388143113113493,5.32
Decision_Tree,0.8315591180655052,0.6668340722538086,0.6939719613672662,0.6801324179862602,0.7868373030431696,0.5418903907597622,222.75
Random_Forest,0.8936211054040695,0.9086493119289314,0.6534479447492592,0.7602023789996437,0.9115688447861869,0.8549427560870242,372.37
Extra_Trees,0.8889207418206272,0.8917092450912204,0.648265149102613,0.7507449849876904,0.9046816099675965,0.8448805383920843,304.95
Gradient_Boosting,0.8817463045720179,0.8999544137864196,0.6094914199450118,0.726775987964415,0.8976365803117627,0.8365356265054671,2829.69
AdaBoost,0.8664683978491117,0.8883510721552669,0.5518923767688235,0.680821266686759,0.8767742028120711,0.7983647874996067,1102.77
XGBoost,0.8895536881512949,0.9067905908875589,0.6375227598143723,0.748681787687169,0.9112464372703346,0.8534825017063995,21.11
LightGBM,0.8900185179144513,0.9110922238787253,0.6358405390885378,0.7489780870362018,0.9108897312426125,0.8531790106472117,19.73
CatBoost,0.8866762601842256,0.9042770928105308,0.6272373900296819,0.7407000193772023,0.9044606925514952,0.8445988734492784,31.83
Linear_SVM,0.8198336147822137,0.7227852825909071,0.48957971222357005,0.583753262695345,0.7470523390162509,0.5260936451083214,196.27
SGD_Linear_SVM,0.8219633004042325,0.7231207906936062,0.5024443250575529,0.5929149466569896,0.7332551669826918,0.5037154001079485,77.51
MLP,0.8833415300615005,0.8892968917322427,0.6258225743325205,0.7346510722026348,0.9003649679407697,0.8384200850377905,739.46
LSTM,0.8854850162972703,0.8922785205098048,0.6325952144223687,0.7403250630865915,0.9045870996970246,0.8442063213922391,568.5
GRU,0.8851136543272452,0.8900251908109937,0.6330011838749906,0.7398256639883625,0.9038058597991859,0.843077212009885,571.07
TCN,0.8872376942436385,0.8940501914079115,0.6387066348049524,0.7451094385425588,0.907344872028762,0.8485708786663447,3560.0
